,AliasName,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
0,AirBiasVal,AIRBIASVAL,Float,1,R/W,100,,,,,,,,,,,
1,AirCv,AIRCV,Float,1,R/W,100,,,,,,,,,,,
2,AirDb,AIRDB,Float,1,R/W,100,,,,,,,,,,,
3,AirErrAlDb,AIRERRALDB,Float,1,R/W,100,,,,,,,,,,,
4,AirErrNegAlLim,AIRERRNEGALLIM,Float,1,R/W,100,,,,,,,,,,,
5,AirErrPosAlLim,AIRERRPOSALLIM,Float,1,R/W,100,,,,,,,,,,,
6,AirFlwTmpComp,AIRFLWTMPCOMP,Float,1,R/W,100,,,,,,,,,,,
7,AirHtrInTmp,AIRHTRINTMP,Float,1,R/W,100,,,,,,,,,,,
8,AirHtrInTmpMax,AIRHTRINTMPMAX,Float,1,R/W,100,,,,,,,,,,,
9,AirHtrInTmpMin,AIRHTRINTMPMIN,Float,1,R/W,100,,,,,,,,,,,
10,AirHtrInTmpPct,AIRHTRINTMPPCT,Float,1,R/W,100,,,,,,,,,,,
11,AirHtrInTmpRng,AIRHTRINTMPRNG,Float,1,R/W,100,,,,,,,,,,,
12,AirKc,AIRKC,Float,1,R/W,100,,,,,,,,,,,
13,AirKcFast,AIRKCFAST,Float,1,R/W,100,,,,,,,,,,,
14,AirMeasFlw,AIRMEASFLW,Float,1,R/W,100,,,,,,,,,,,
15,AirMeasFlwPct,AIRMEASFLWPCT,Float,1,R/W,100,,,,,,,,,,,
16,AirMeasTmp,AIRMEASTMP,Float,1,R/W,100,,,,,,,,,,,
17,AirOut,AIROUT,Float,1,R/W,100,,,,,,,,,,,
18,AirOutLtoffDual,AIROUTLTOFFDUAL,Float,1,R/W,100,,,,,,,,,,,
19,AirOutLtoffGas,AIROUTLTOFFGAS,Float,1,R/W,100,,,,,,,,,,,
20,AirOutLtoffOil,AIROUTLTOFFOIL,Float,1,R/W,100,,,,,,,,,,,
21,AirPv,AIRPV,Float,1,R/W,100,,,,,,,,,,,
22,AirPvAlDb,AIRPVALDB,Float,1,R/W,100,,,,,,,,,,,
23,AirPvHiAlLim,AIRPVHIALLIM,Float,1,R/W,100,,,,,,,,,,,
24,AirPvLoAlLim,AIRPVLOALLIM,Float,1,R/W,100,,,,,,,,,,,
25,AirPvMax,AIRPVMAX,Float,1,R/W,100,,,,,,,,,,,
26,AirPvMin,AIRPVMIN,Float,1,R/W,100,,,,,,,,,,,
27,AirPvPreFar,AIRPVPREFAR,Float,1,R/W,100,,,,,,,,,,,
